12/1/2016,12:47:58;01, 48.29354,0;02, .000006834058,0;03, 14.60528,0;04, .3753972,0;
12/1/2016,12:47:59;01, 48.29354,0;02, .000006834058,0;03, 14.60528,0;04, .3753972,0;
12/1/2016,12:48:00;01, 48.29354,0;02, .00000766625,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:48:01;01, 48.27268,0;02, .0000056485,0;03, 14.45568,0;04, .3753972,0;
12/1/2016,12:48:02;01, 48.27268,0;02, .0000056485,0;03, 14.45568,0;04, .3753972,0;
12/1/2016,12:48:03;01, 48.28658,0;02, .000007569894,0;03, 14.45568,0;04, .3698808,0;
12/1/2016,12:48:04;01, 48.28658,0;02, .000007569894,0;03, 14.45568,0;04, .3698808,0;
12/1/2016,12:48:05;01, 48.28658,0;02, .000008655499,0;03, 14.49308,0;04, .3753972,0;
12/1/2016,12:48:06;01, 48.27268,0;02, .000007498934,0;03, 14.58658,0;04, .3753972,0;
12/1/2016,12:48:07;01, 48.27268,0;02, .000007498934,0;03, 14.58658,0;04, .3753972,0;
12/1/2016,12:48:08;01, 48.25877,0;02, .000006935958,0;03, 14.49308,0;04, .3698808,0;
12/1/2016,12:48:09;01, 48.25877,0;02, .000006935958,0;03, 14.49308,0;04, .3698808,0;
12/1/2016,12:48:10;01, 48.26572,0;02, .000008886806,0;03, 14.45568,0;04, .3698808,0;
12/1/2016,12:48:11;01, 48.27268,0;02, .000009065549,0;03, 14.53048,0;04, .3753972,0;
12/1/2016,12:48:12;01, 48.27268,0;02, .000009065549,0;03, 14.53048,0;04, .3753972,0;
12/1/2016,12:48:13;01, 48.27268,0;02, .000008537518,0;03, 14.86707,0;04, .3698808,0;
12/1/2016,12:48:14;01, 48.27268,0;02, .000008537518,0;03, 14.86707,0;04, .3698808,0;
12/1/2016,12:48:15;01, 48.27268,0;02, .000007928516,0;03, 15.55895,0;04, .3698808,0;
12/1/2016,12:48:16;01, 48.26572,0;02, .000008048907,0;03, 14.64267,0;04, .3698808,0;
12/1/2016,12:48:17;01, 48.26572,0;02, .000008048907,0;03, 14.64267,0;04, .3698808,0;
12/1/2016,12:48:18;01, 48.23095,0;02, .000006106976,0;03, 14.45568,0;04, .3698808,0;
12/1/2016,12:48:19;01, 48.23095,0;02, .000006106976,0;03, 14.45568,0;04, .3698808,0;
12/1/2016,12:48:20;01, 48.2379,0;02, .000005246995,0;03, 14.51178,0;04, .3698808,0;
12/1/2016,12:48:21;01, 48.25181,0;02, .00000495736,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:48:22;01, 48.25181,0;02, .00000495736,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:48:23;01, 48.24485,0;02, .000005009664,0;03, 14.60528,0;04, .3698808,0;
12/1/2016,12:48:24;01, 48.24485,0;02, .000005009664,0;03, 14.60528,0;04, .3698808,0;
12/1/2016,12:48:25;01, 48.24485,0;02, .000007627151,0;03, 14.58658,0;04, .3753972,0;
12/1/2016,12:48:26;01, 48.24485,0;02, .000008235138,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:48:27;01, 48.24485,0;02, .000008235138,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:48:28;01, 48.2379,0;02, .000006856161,0;03, 14.51178,0;04, .3698808,0;
12/1/2016,12:48:29;01, 48.2379,0;02, .000006856161,0;03, 14.51178,0;04, .3698808,0;
12/1/2016,12:48:30;01, 48.23095,0;02, .0000069453,0;03, 15.44675,0;04, .3698808,0;
12/1/2016,12:48:31;01, 48.22399,0;02, .000006556626,0;03, 15.11016,0;04, .3698808,0;
12/1/2016,12:48:32;01, 48.22399,0;02, .000006556626,0;03, 15.11016,0;04, .3698808,0;
12/1/2016,12:48:33;01, 48.22399,0;02, .000005378521,0;03, 14.58658,0;04, .3698808,0;
12/1/2016,12:48:34;01, 48.22399,0;02, .000005378521,0;03, 14.58658,0;04, .3698808,0;
12/1/2016,12:48:35;01, 48.22399,0;02, .000005833885,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:48:36;01, 48.23095,0;02, .000006265112,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:48:37;01, 48.23095,0;02, .000006265112,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:48:38;01, 48.21703,0;02, .000005048914,0;03, 14.45568,0;04, .3698808,0;
12/1/2016,12:48:39;01, 48.21703,0;02, .000005048914,0;03, 14.45568,0;04, .3698808,0;
12/1/2016,12:48:40;01, 48.21703,0;02, .000005368396,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:48:41;01, 48.21008,0;02, .000006924772,0;03, 14.56788,0;04, .3753972,0;
12/1/2016,12:48:42;01, 48.21008,0;02, .000006924772,0;03, 14.56788,0;04, .3753972,0;
12/1/2016,12:48:43;01, 48.21703,0;02, .000006002699,0;03, 14.53048,0;04, .3698808,0;
12/1/2016,12:48:44;01, 48.21703,0;02, .000006002699,0;03, 14.53048,0;04, .3698808,0;
12/1/2016,12:48:45;01, 48.21008,0;02, .00000744264,0;03, 15.27846,0;04, .3698808,0;
12/1/2016,12:48:46;01, 48.18922,0;02, .000007313588,0;03, 15.16626,0;04, .3698808,0;
12/1/2016,12:48:47;01, 48.18922,0;02, .000007313588,0;03, 15.16626,0;04, .3698808,0;
12/1/2016,12:48:48;01, 48.22399,0;02, .000007105996,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:48:49;01, 48.22399,0;02, .000007105996,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:48:50;01, 48.19617,0;02, .00000573427,0;03, 14.58658,0;04, .3698808,0;
12/1/2016,12:48:51;01, 48.19617,0;02, .000005675928,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:48:52;01, 48.19617,0;02, .000005675928,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:48:53;01, 48.1753,0;02, .000006290457,0;03, 15.18496,0;04, .3698808,0;
12/1/2016,12:48:54;01, 48.1753,0;02, .000006290457,0;03, 15.18496,0;04, .3698808,0;
12/1/2016,12:48:55;01, 48.1753,0;02, .000006384251,0;03, 14.54918,0;04, .3753972,0;
12/1/2016,12:48:56;01, 48.18226,0;02, .000006413527,0;03, 15.37195,0;04, .3753972,0;
12/1/2016,12:48:57;01, 48.18226,0;02, .000006413527,0;03, 15.37195,0;04, .3753972,0;
12/1/2016,12:48:58;01, 48.18226,0;02, .000008514574,0;03, 14.49308,0;04, .3753972,0;
12/1/2016,12:48:59;01, 48.18226,0;02, .000008514574,0;03, 14.49308,0;04, .3753972,0;
12/1/2016,12:49:00;01, 48.1753,0;02, .000007513076,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:49:01;01, 48.16835,0;02, .000008744468,0;03, 14.53048,0;04, .3753972,0;
12/1/2016,12:49:02;01, 48.16835,0;02, .000008744468,0;03, 14.53048,0;04, .3753972,0;
12/1/2016,12:49:03;01, 48.16835,0;02, .000009041186,0;03, 14.56788,0;04, .3753972,0;
12/1/2016,12:49:04;01, 48.16835,0;02, .000009041186,0;03, 14.56788,0;04, .3753972,0;
12/1/2016,12:49:05;01, 48.16835,0;02, .00001034057,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:49:06;01, 48.1614,0;02, .000009600368,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:49:07;01, 48.1614,0;02, .000009600368,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:49:08;01, 48.1614,0;02, .000009423747,0;03, 14.47438,0;04, .3809136,0;
12/1/2016,12:49:09;01, 48.1614,0;02, .000009423747,0;03, 14.47438,0;04, .3809136,0;
12/1/2016,12:49:10;01, 48.16835,0;02, .000008893981,0;03, 14.53048,0;04, .3753972,0;
12/1/2016,12:49:11;01, 48.16835,0;02, .000008505417,0;03, 14.66137,0;04, .3753972,0;
12/1/2016,12:49:12;01, 48.16835,0;02, .000008505417,0;03, 14.66137,0;04, .3753972,0;
12/1/2016,12:49:13;01, 48.15444,0;02, .000006249956,0;03, 14.56788,0;04, .3753972,0;
12/1/2016,12:49:14;01, 48.15444,0;02, .000006249956,0;03, 14.56788,0;04, .3753972,0;
12/1/2016,12:49:15;01, 48.12661,0;02, .000006066031,0;03, 14.45568,0;04, .3698808,0;
12/1/2016,12:49:16;01, 48.16835,0;02, .000007054557,0;03, 14.51178,0;04, .3698808,0;
12/1/2016,12:49:17;01, 48.16835,0;02, .000007054557,0;03, 14.51178,0;04, .3698808,0;
